provider,feed,source_type,symbol,date,chunk_id,chunk_start,chunk_end,path,export_status,row_count,first_timestamp,last_timestamp,error,dry_run_flag,secret_value_logged_flag,historical_live_ready_flag
alpaca,sip,trades,AFRM,2024-01-02,1630_1730,2024-01-02T16:30:00Z,2024-01-02T17:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-02\chunk=1630_1730.parquet,EXPORTED,11303,2024-01-02T16:30:00.138426396Z,2024-01-02T17:29:56.544798093Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-02,1530_1630,2024-01-02T15:30:00Z,2024-01-02T16:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-02\chunk=1530_1630.parquet,EXPORTED,21226,2024-01-02T15:30:00.017394589Z,2024-01-02T16:29:59.443567229Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-02,1730_1830,2024-01-02T17:30:00Z,2024-01-02T18:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-02\chunk=1730_1830.parquet,EXPORTED,13379,2024-01-02T17:30:00.735816937Z,2024-01-02T18:29:57.347988713Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-02,1830_1930,2024-01-02T18:30:00Z,2024-01-02T19:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-02\chunk=1830_1930.parquet,EXPORTED,10942,2024-01-02T18:30:02.381533610Z,2024-01-02T19:29:59.572864886Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-02,1930_2030,2024-01-02T19:30:00Z,2024-01-02T20:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-02\chunk=1930_2030.parquet,EXPORTED,10599,2024-01-02T19:30:00.279625273Z,2024-01-02T20:29:59.390470282Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-02,1430_1530,2024-01-02T14:30:00Z,2024-01-02T15:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-02\chunk=1430_1530.parquet,EXPORTED,41940,2024-01-02T14:30:00.363768Z,2024-01-02T15:29:59.295862199Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-02,2030_2100,2024-01-02T20:30:00Z,2024-01-02T21:00:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-02\chunk=2030_2100.parquet,EXPORTED,12159,2024-01-02T20:30:00.861728914Z,2024-01-02T20:59:59.978029515Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-03,1530_1630,2024-01-03T15:30:00Z,2024-01-03T16:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-03\chunk=1530_1630.parquet,EXPORTED,17648,2024-01-03T15:30:00.750090017Z,2024-01-03T16:29:59.761648563Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-03,1630_1730,2024-01-03T16:30:00Z,2024-01-03T17:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-03\chunk=1630_1730.parquet,EXPORTED,14122,2024-01-03T16:30:02.104045210Z,2024-01-03T17:29:58.819282880Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-03,1730_1830,2024-01-03T17:30:00Z,2024-01-03T18:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-03\chunk=1730_1830.parquet,EXPORTED,7727,2024-01-03T17:30:00.470925192Z,2024-01-03T18:29:59.635177961Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-03,1430_1530,2024-01-03T14:30:00Z,2024-01-03T15:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-03\chunk=1430_1530.parquet,EXPORTED,31755,2024-01-03T14:30:00.004188337Z,2024-01-03T15:29:59.227564396Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-03,1830_1930,2024-01-03T18:30:00Z,2024-01-03T19:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-03\chunk=1830_1930.parquet,EXPORTED,9279,2024-01-03T18:30:00.019524353Z,2024-01-03T19:29:59.741521818Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-03,1930_2030,2024-01-03T19:30:00Z,2024-01-03T20:30:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-03\chunk=1930_2030.parquet,EXPORTED,18226,2024-01-03T19:30:00.870426824Z,2024-01-03T20:29:59.247946342Z,,0,0,0
alpaca,sip,trades,AFRM,2024-01-03,2030_2100,2024-01-03T20:30:00Z,2024-01-03T21:00:00Z,data\raw\microstructure_full\provider=alpaca\feed=sip\type=trades\symbol=AFRM\date=2024-01-03\chunk=2030_2100.parquet,EXPORTED,13971,2024-01-03T20:30:00.115126728Z,2024-01-03T20:59:59.999108899Z,,0,0,0
