lifecycle_id,decision_id,order_id,symbol,source_path,source_hash,receive_ts,raw_entry_bar_available_flag,inferred_lifecycle_matching_used_flag,event_type,event_ts,event_price,receive_ts_status,recv_ts_utc,stream_archive_match_flag,live_ready_flag
TASK503|RKLB|20240509T134500Z,RD|TASK503|RKLB|20240509T134500Z,RO|TASK503|RKLB|20240509T134500Z,RKLB,data\raw\us_intraday\RKLB.csv,7368000fb8ccbe5b5f525c92c3fdd3d12d04ac5e1a53e6f80fa5f1db09d5e2ba,,1,0,DECISION_SNAPSHOT,2024-05-09 13:45:00+00:00,4.185,receive_ts_missing,,0,0
TASK503|RTX|20240513T133000Z,RD|TASK503|RTX|20240513T133000Z,RO|TASK503|RTX|20240513T133000Z,RTX,data\raw\us_intraday\RTX.csv,11099d5722aa65c4dfc9931f93738195c637ab4bbef9884cac331df955a1ced8,,1,0,DECISION_SNAPSHOT,2024-05-13 13:30:00+00:00,107.1,receive_ts_missing,,0,0
TASK503|TER|20240513T134500Z,RD|TASK503|TER|20240513T134500Z,RO|TASK503|TER|20240513T134500Z,TER,data\raw\us_intraday\TER.csv,77c0b1c5a45c4b5690cddad63714a910b2979e3f75d3382678fdac0c38d4d467,,1,0,DECISION_SNAPSHOT,2024-05-13 13:45:00+00:00,124.745,receive_ts_missing,,0,0
TASK503|NEE|20240513T194500Z,RD|TASK503|NEE|20240513T194500Z,RO|TASK503|NEE|20240513T194500Z,NEE,data\raw\us_intraday\NEE.csv,8e68e90d6f4284f78ec000ba20ced1e87ca2fcf3f3e5ab68a5cc13845753212b,,1,0,DECISION_SNAPSHOT,2024-05-13 19:45:00+00:00,74.57,receive_ts_missing,,0,0
TASK503|TER|20240514T133000Z,RD|TASK503|TER|20240514T133000Z,RO|TASK503|TER|20240514T133000Z,TER,data\raw\us_intraday\TER.csv,e5fcfcd98220f43b88982068a9950a91da4c3547cdf34e87f95b89327f5b5d0f,,1,0,DECISION_SNAPSHOT,2024-05-14 13:30:00+00:00,125.4476,receive_ts_missing,,0,0
TASK503|NEE|20240514T191500Z,RD|TASK503|NEE|20240514T191500Z,RO|TASK503|NEE|20240514T191500Z,NEE,data\raw\us_intraday\NEE.csv,b636cfd181e40a0023ad9b24ae59bcc7a2c37ddbb3a65fc8e6df795e96728084,,1,0,DECISION_SNAPSHOT,2024-05-14 19:15:00+00:00,75.315,receive_ts_missing,,0,0
TASK503|TER|20240515T133000Z,RD|TASK503|TER|20240515T133000Z,RO|TASK503|TER|20240515T133000Z,TER,data\raw\us_intraday\TER.csv,1e31bc40557e831c3a9388f90700c591a1be6c7cb83108a14bd9d7b19149c511,,1,0,DECISION_SNAPSHOT,2024-05-15 13:30:00+00:00,130.45,receive_ts_missing,,0,0
TASK503|ASTS|20240517T141500Z,RD|TASK503|ASTS|20240517T141500Z,RO|TASK503|ASTS|20240517T141500Z,ASTS,data\raw\us_intraday\ASTS.csv,13d472a0cf298ba8d525038a885107cf2d488bd8e99e3851728462d5f2a274b6,,1,0,DECISION_SNAPSHOT,2024-05-17 14:15:00+00:00,4.5699,receive_ts_missing,,0,0
TASK503|ASTS|20240520T133000Z,RD|TASK503|ASTS|20240520T133000Z,RO|TASK503|ASTS|20240520T133000Z,ASTS,data\raw\us_intraday\ASTS.csv,fdc5225f45ec34d8e2905971b09d6088fd7057e4ea7e0d85a5a039090a27004e,,1,0,DECISION_SNAPSHOT,2024-05-20 13:30:00+00:00,4.965,receive_ts_missing,,0,0
TASK503|TER|20240520T133000Z,RD|TASK503|TER|20240520T133000Z,RO|TASK503|TER|20240520T133000Z,TER,data\raw\us_intraday\TER.csv,d4f262647905928277efdc680e362e0c064d1a1c2db0058e9e44373fd7465af3,,1,0,DECISION_SNAPSHOT,2024-05-20 13:30:00+00:00,138.3649,receive_ts_missing,,0,0
