path,kind,classification,action,presence,last_write_utc,decision
.codex,directory,local_codex_state,keep_local_only,required,2026-06-29T02:07:43+00:00,KEEP_CLASSIFIED
.dvc,directory,data_versioning_metadata,keep,required,2026-06-27T15:35:10+00:00,KEEP_CLASSIFIED
.dvcignore,file,data_versioning_config,keep,required,2026-06-27T15:49:31+00:00,KEEP_CLASSIFIED
.env,file,local_secret,keep_local_only_do_not_read,required,2026-06-28T00:35:57+00:00,KEEP_CLASSIFIED
.git,directory,vcs_metadata,keep,required,,KEEP_CLASSIFIED
.gitignore,file,vcs_config,keep,required,2026-07-01T02:35:47+00:00,KEEP_CLASSIFIED
.kis_token_cache.json,file,local_secret_token_cache,keep_local_only_do_not_read,required,2026-06-03T13:40:00+00:00,KEEP_CLASSIFIED
.obsidian,directory,local_obsidian_state,keep_local_only,required,2026-06-29T03:49:09+00:00,KEEP_CLASSIFIED
.pytest_cache,directory,transient_cache_known_debt,cleanup_candidate,optional,2026-07-01T07:00:27+00:00,KEEP_CLASSIFIED
AGENTS.md,file,root_agent_rules,keep,required,2026-06-29T02:08:38+00:00,KEEP_CLASSIFIED
apps,directory,application_surfaces,keep,required,2026-06-22T12:31:08+00:00,KEEP_CLASSIFIED
config,directory,config_alias_known_debt,review_before_move,required,2026-06-29T03:49:09+00:00,KEEP_CLASSIFIED
configs,directory,canonical_config,keep,required,2026-06-30T13:04:58+00:00,KEEP_CLASSIFIED
data,directory,data_artifacts_protected,keep_protected,required,2026-06-30T13:07:20+00:00,KEEP_CLASSIFIED
docs,directory,documentation,keep,required,2026-07-01T14:33:46+00:00,KEEP_CLASSIFIED
frontend,directory,frontend_surface_known_debt,review_against_apps,required,2026-07-01T14:32:55+00:00,KEEP_CLASSIFIED
logs,directory,runtime_logs,keep_local_or_rotate,required,2026-07-01T14:07:14+00:00,KEEP_CLASSIFIED
ops,directory,governance,keep,required,2026-07-01T14:45:56+00:00,KEEP_CLASSIFIED
prompts,directory,prompt_governance,keep,required,2026-07-01T14:31:47+00:00,KEEP_CLASSIFIED
README.md,file,project_entry_doc,keep,required,2026-04-22T12:40:29+00:00,KEEP_CLASSIFIED
schemas,directory,contracts,keep,required,2026-07-01T11:44:54+00:00,KEEP_CLASSIFIED
scripts,directory,automation_and_validators,keep,required,2026-07-01T14:36:50+00:00,KEEP_CLASSIFIED
src,directory,source_code,keep,required,2026-06-29T03:49:10+00:00,KEEP_CLASSIFIED
tasks,directory,task_local_state_known_debt,review_against_task_registry,required,2026-06-29T03:50:01+00:00,KEEP_CLASSIFIED
tests,directory,tests,keep,required,2026-07-01T11:50:03+00:00,KEEP_CLASSIFIED
tools,directory,tools,keep,required,2026-06-29T03:49:10+00:00,KEEP_CLASSIFIED
trading-DESKTOP-2R00TB4.db,file,machine_conflict_db_known_debt,review_before_move_or_delete,required,2026-06-28T22:30:00+00:00,KEEP_CLASSIFIED
trading.db,file,local_runtime_db_known_debt,review_before_move_or_delete,required,2026-07-01T13:51:37+00:00,KEEP_CLASSIFIED
