field,value
verdict,DIAGNOSTIC_ONLY_NOT_DEPLOYMENT_READY
strategy_acceptance,NOT_ACCEPTED
deployment_readiness,DIAGNOSTIC_ONLY_NOT_DEPLOYMENT_READY
real_capital,FORBIDDEN
paper_trading,FORBIDDEN
broker_mutation,FORBIDDEN
buy_sell_signals,NOT_CREATED
rank_sizing_order_intent,NOT_CREATED
inferred_matching,FORBIDDEN_AND_REJECTED
calibrated_probability,PARTIAL_CANONICAL_SOURCE_EVENT_DIAGNOSTIC_ONLY
task742_calibrated_probability,FUTURE_ONLY_REQUIRES_TASK742_PACKET_OUTCOME_BRIDGE_AND_SAMPLE_SIZE
task742_rule_migration,RECOVERED_RULES_MIGRATED_TO_L3_DIAGNOSTIC_PATH
next_action,BUILD_TASK742_PACKET_TO_OUTCOME_BRIDGE_ARTIFACT
current_bridge_eligible_artifacts,9
canonical_source_event_bridge_rows,4073
l3_calibration_outcome_rows,4073
l3_calibration_non_missing_rows,2686
l3_calibration_audit_buckets,20
l3_calibration_calibrated_buckets,10
task742_packet_bridge_candidates,0
task742_packet_bridge_allowed,0
task742_schema_search_candidates,0
task742_schema_search_packet_candidates,0
task742_schema_search_calibration_allowed,0
task742_schema_search_canonical_bridge_source_receipts,1365
remote_task742_artifacts_checked,5
remote_task742_artifacts_downloadable,0
bridge_gap_reason,TASK742_PACKET_TO_OUTCOME_BRIDGE_STILL_MISSING_REMOTE_PACKET_ARTIFACTS_NOT_DOWNLOADABLE_AND_RENAMED_SCHEMA_SEARCH_FOUND_NO_LOCAL_PACKET_CANDIDATE
