path,type,purpose,created_or_modified,task_id
ops/task_registry.yaml,registry,TASK-4168 task definition and closeout state,modified,TASK-4168
ops/doc_registry.yaml,registry,TASK-4168 document registry entries,modified,TASK-4168
scripts/triage_l3_coverage_gaps_4168.py,script,Build deterministic L3 gap triage and L3/L4 reconciliation artifacts,created,TASK-4168
scripts/validate_l3_gap_triage_4168.py,validator,Validate TASK-4168 triage/reconciliation/safety artifacts,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_l3_gap_triage.csv,artifact,L3 coverage gap triage rows,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_l3_gap_triage.json,artifact,L3 coverage gap triage JSON with summary,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_gap_subreason_summary.csv,artifact,Gap subreason count summary,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_source_month_linkage.csv,artifact,Source/month linkage summary for L3 gaps,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_l3_l4_gap_reconciliation.json,artifact,L3/L4 gap count reconciliation,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_l3_l4_gap_reconciliation_detail.csv,artifact,L4 L3_COVERAGE_GAP blocker grain detail,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_l4_blocker_taxonomy.csv,artifact,L4 blocker global/local taxonomy,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_event_identity_audit.json,artifact,Diagnostic event identity audit,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_l0_status_snapshot.json,artifact,L0 status snapshot and explicit blockers,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_p1_p2_priority_ledger.json,artifact,P1/P2 bounded/deferred priority ledger,created,TASK-4168
data/artifacts/task_4168_l3_gap_reason_narrowing_recall_traceability/task_4168_l3_gap_triage.md,artifact,Human-readable L3 gap triage summary,created,TASK-4168
docs/reports/task_4168_l3_gap_reason_narrowing_recall_traceability/report.md,task_report,TASK-4168 closeout report,created,TASK-4168
docs/reports/task_4168_l3_gap_reason_narrowing_recall_traceability/artifact_manifest.csv,artifact_manifest,TASK-4168 artifact manifest,created,TASK-4168
docs/reports/task_4168_l3_gap_reason_narrowing_recall_traceability/validation_results.md,validation_report,TASK-4168 validation results,created,TASK-4168
