relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1190,81cadcee53f84bf8593664f2f8401b08471b2083b51aa844df2d996738473c60
task_652_candidate_account_grid.csv,small_table,1582,033e14ff28e1cfed9cbc53325c80c567ff322850fcff84f8c965edcfa31712b4
task_652_decision.csv,decision,790,89749ebcd2bd5c48bc8173ab0715f0bd3cbbd885bd8f38e58fb0090f001a7e8b
task_652_gpt_review_packet.md,report,499,8ce9fa2404a5086a8db612caacef5c3952cd640a933f4f705678398b13ec6be5
task_652_gpt_review_status.csv,small_table,360,45e4515fdd28787018cb0871a109c22fdaeaef4e9163057e93eba109066ebda1
task_652_pass_fail_matrix.csv,small_table,803,f45570c8a27fe2e15b6ee38bea9b28a3021b71253ac7b2dfa0058608e336033b
task_652_relation_overlay_stability.md,report,10723,0e8c9360aff466cfad4869e8b18199be239e8e785d9bcd5333b5d4d878a856cd
task_652_relation_tagged_execution_panel.csv,large_panel,329465040,dfdc71698443499ea9065e0d4c470c4553dc33c571fae287aed17cec158de77e
task_652_split_account_grid.csv,small_table,2900,ff2b7dc8907ff0bb4ebd58530dac68e7118532234f7ddb639b86cae1360e2ebb
task_652_stability_matrix.csv,small_table,568,68fc74acf71a115b3466e374b23b3ea59c2d565a21e56c3510ef79cccf68cdd2
task_652_tag_diagnostics.csv,small_table,1996,d6d1c552de0b86031fdc1712a50c3f02813e202c1b378b522b887f058eb6bc53
