"path","result","note"
"__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"data/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"scripts/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/analytics/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/app/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/backtest/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/backtest/core/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/backtest/reports/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/common/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/data/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/execution/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/experiments/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/integration/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/market/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/portfolio/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/replay/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/reporting/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/research/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/risk/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/sector/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/state/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/strategy/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/ui/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"src/universe/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"tests/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"tests/integration/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"tests/replay/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"tests/unit/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"참고 Context/3. Github Source/regime-adaptive-quantitative-trading-main/regime-adaptive-quantitative-trading-main/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"참고 Context/3. Github Source/regime-adaptive-quantitative-trading-main/regime-adaptive-quantitative-trading-main/config/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"참고 Context/3. Github Source/regime-adaptive-quantitative-trading-main/regime-adaptive-quantitative-trading-main/src/optimization/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"참고 Context/3. Github Source/regime-adaptive-quantitative-trading-main/regime-adaptive-quantitative-trading-main/src/strategies/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
"참고 Context/3. Github Source/regime-adaptive-quantitative-trading-main/regime-adaptive-quantitative-trading-main/src/utils/__pycache__","DELETED_EMPTY_DIR","Empty generated-cache directory deleted after file cleanup."
