path,type,purpose,created_or_modified,task_id
ops/project_hygiene_policy.yaml,GOVERNANCE_POLICY,marks .pytest_cache optional transient cleanup candidate,modified,TASK-4189
ops/project_structure_policy.yaml,GOVERNANCE_POLICY,durable target repository structure and cleanup policy,created,TASK-4189
ops/context_bundles.yaml,GOVERNANCE_CONFIG,TASK-4189 context bundle config,modified,TASK-4189
ops/task_registry.yaml,REGISTRY,TASK-4189 task registration and closeout metadata,modified,TASK-4189
ops/doc_registry.yaml,REGISTRY,TASK-4189 document registration,modified,TASK-4189
scripts/ops/run_task4189_project_structure_cleanup.py,TASK_RUNNER,limited audit and safe transient cache cleanup,created,TASK-4189
scripts/ops/validate_task4189_project_structure_cleanup.py,TASK_VALIDATOR,TASK-4189 artifact and cleanup validator,created,TASK-4189
scripts/ops/validate_project_hygiene.py,VALIDATOR,optional root entry handling after cache deletion,modified,TASK-4189
scripts/ops/validate_project_structure_policy.py,VALIDATOR,project structure policy validator,created,TASK-4189
scripts/ops/validate_codex_closeout.py,VALIDATOR,adds structure policy validator to standard closeout,modified,TASK-4189
docs/generated_context/TASK-4189_context.md,GENERATED_CONTEXT,TASK-4189 context bundle,created,TASK-4189
docs/generated_context/TASK-4189_manifest.csv,GENERATED_CONTEXT_MANIFEST,TASK-4189 context manifest,created,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/task_result_contract.yaml,CONTRACT,prime task result contract,modified,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/report.md,TASK_REPORT,closeout report,modified,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/artifact_manifest.csv,ARTIFACT_MANIFEST,task artifact manifest,modified,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/validation_results.md,VALIDATION_REPORT,validator results,modified,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/cleanup_summary.json,REFERENCE,cleanup run summary,created,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/root_structure_inventory.csv,REFERENCE,root classification inventory,created,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/docs_surface_inventory.csv,REFERENCE,docs surface lifecycle inventory,created,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/stale_report_candidates.csv,REFERENCE,stale report candidate inventory,created,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/duplicate_axis_review.csv,REFERENCE,duplicate root/docs axis review matrix,created,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/cleanup_execution_log.csv,REFERENCE,physical cleanup execution log,created,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/gpt_pro_project_structure_prompt.md,GPT_PROMPT,GPT Pro project architecture consult prompt,created,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/gpt_pro_consult_ledger.csv,GPT_LEDGER,GPT consult capture status ledger,created,TASK-4189
docs/reports/task_4189_project_structure_cleanup_and_gpt_pro_review/gpt_pro_response_partial.txt,GPT_RESPONSE_PARTIAL,partial ChatGPT Pro page capture while response was pending,created,TASK-4189
