artifact_path,artifact_type,rows,description,validation_command
src/infra/accelerators.py,source,0,Core backend acceleration wrapper for Polars DuckDB pandas fallback,python -m unittest tests.test_backend_accelerators
tests/test_backend_accelerators.py,test,5,Package-health tests for backend acceleration layer,python -m unittest tests.test_backend_accelerators
scripts/trader_brain_3191_3195_backend_accelerator_promotion_validate.py,validator,0,Validates dependency availability correctness parity and auto accelerator selection,python scripts/trader_brain_3191_3195_backend_accelerator_promotion_validate.py
data/artifacts/task_3191_3195_backend_accelerator_promotion/accelerator_strict_gate_fixture.csv,fixture,4096,Synthetic strict-gate fixture,python scripts/trader_brain_3191_3195_backend_accelerator_promotion_validate.py
data/artifacts/task_3191_3195_backend_accelerator_promotion/dependency_status.csv,dependency_status,3,Pandas Polars DuckDB local dependency status,python scripts/trader_brain_3191_3195_backend_accelerator_promotion_validate.py
data/artifacts/task_3191_3195_backend_accelerator_promotion/aggregate_metrics.csv,metrics,4,Pandas Polars DuckDB and auto aggregate metrics,python scripts/trader_brain_3191_3195_backend_accelerator_promotion_validate.py
data/artifacts/task_3191_3195_backend_accelerator_promotion/parity_result.csv,parity,2,Polars and DuckDB correctness parity against pandas,python scripts/trader_brain_3191_3195_backend_accelerator_promotion_validate.py
data/artifacts/task_3191_3195_backend_accelerator_promotion/decision.csv,decision,1,Backend accelerator promotion decision,python scripts/trader_brain_3191_3195_backend_accelerator_promotion_validate.py
data/artifacts/task_3191_3195_backend_accelerator_promotion/acceptance_checks.csv,validation,7,Task3191-3195 validation checks,python scripts/trader_brain_3191_3195_backend_accelerator_promotion_validate.py
docs/reports/task_3191_3195_backend_accelerator_promotion/task_3191_3195_backend_accelerator_promotion.md,report,0,Task3191-3195 closeout report,python scripts/task_registry_validate.py
docs/reports/task_3191_3195_backend_accelerator_promotion/task_3195_decision.csv,decision,1,Task3195 decision file,python scripts/task_registry_validate.py
