provider,feed,batch_id,batch_symbol_count,start_date,end_date,source_types,command,dry_run_command,secret_in_command_flag,expected_partition_pattern
alpaca,sip,1,5,2024-01-02,2026-06-03,"quotes,trades",python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols AFRM AMD AMGN AMZN ARM --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_001.csv,python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols AFRM AMD AMGN AMZN ARM --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_001.csv --dry-run,0,data/raw/microstructure_full/provider=alpaca/feed=sip/type=*/symbol=*/date=*/chunk=*.parquet
alpaca,sip,2,5,2024-01-02,2026-06-03,"quotes,trades",python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols ASML ASTS AVGO BA CEG --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_002.csv,python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols ASML ASTS AVGO BA CEG --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_002.csv --dry-run,0,data/raw/microstructure_full/provider=alpaca/feed=sip/type=*/symbol=*/date=*/chunk=*.parquet
alpaca,sip,3,5,2024-01-02,2026-06-03,"quotes,trades",python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols COIN CRM CRWD DDOG EMR --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_003.csv,python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols COIN CRM CRWD DDOG EMR --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_003.csv --dry-run,0,data/raw/microstructure_full/provider=alpaca/feed=sip/type=*/symbol=*/date=*/chunk=*.parquet
alpaca,sip,4,5,2024-01-02,2026-06-03,"quotes,trades",python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols ESTC ETN F FTNT GD --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_004.csv,python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols ESTC ETN F FTNT GD --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_004.csv --dry-run,0,data/raw/microstructure_full/provider=alpaca/feed=sip/type=*/symbol=*/date=*/chunk=*.parquet
alpaca,sip,5,5,2024-01-02,2026-06-03,"quotes,trades",python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols GE GEV GM GOOGL GTLB --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_005.csv,python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols GE GEV GM GOOGL GTLB --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_005.csv --dry-run,0,data/raw/microstructure_full/provider=alpaca/feed=sip/type=*/symbol=*/date=*/chunk=*.parquet
alpaca,sip,6,5,2024-01-02,2026-06-03,"quotes,trades",python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols HON HOOD IBIT IR ISRG --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_006.csv,python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols HON HOOD IBIT IR ISRG --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_006.csv --dry-run,0,data/raw/microstructure_full/provider=alpaca/feed=sip/type=*/symbol=*/date=*/chunk=*.parquet
alpaca,sip,7,5,2024-01-02,2026-06-03,"quotes,trades",python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols LCID LLY LMT MBLY MDB --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_007.csv,python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols LCID LLY LMT MBLY MDB --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_007.csv --dry-run,0,data/raw/microstructure_full/provider=alpaca/feed=sip/type=*/symbol=*/date=*/chunk=*.parquet
alpaca,sip,8,5,2024-01-02,2026-06-03,"quotes,trades",python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols META MRNA MRVL MSFT MSTR --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_008.csv,python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols META MRNA MRVL MSFT MSTR --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_008.csv --dry-run,0,data/raw/microstructure_full/provider=alpaca/feed=sip/type=*/symbol=*/date=*/chunk=*.parquet
alpaca,sip,9,5,2024-01-02,2026-06-03,"quotes,trades",python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols NEE NET NOC NOW NVDA --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_009.csv,python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols NEE NET NOC NOW NVDA --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_009.csv --dry-run,0,data/raw/microstructure_full/provider=alpaca/feed=sip/type=*/symbol=*/date=*/chunk=*.parquet
alpaca,sip,10,5,2024-01-02,2026-06-03,"quotes,trades",python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols NVO OKTA ORCL PANW PH --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_010.csv,python -m src.data.alpaca_full_microstructure_backfill --feed sip --session regular --chunk-minutes 60 --start-date 2024-01-02 --end-date 2026-06-03 --symbols NVO OKTA ORCL PANW PH --audit-out docs/reports/task_646_full_microstructure_data_lake/backfill_audit_batch_010.csv --dry-run,0,data/raw/microstructure_full/provider=alpaca/feed=sip/type=*/symbol=*/date=*/chunk=*.parquet
