path,type,purpose,created_or_modified,task_id
ops/task_registry.yaml,registry,TASK-4152 task registration and closeout,modified,TASK-4152
ops/doc_registry.yaml,registry,TASK-4152 document registration,modified,TASK-4152
configs/l3_relation_graph_v2_4152.json,config,L3 relation graph v2 config,created,TASK-4152
src/brain/l3_relation_graph_v2_4152/__init__.py,package,L3 relation graph v2 package marker,created,TASK-4152
src/brain/l3_relation_graph_v2_4152/contracts.py,code,L3 relation graph v2 contracts,created,TASK-4152
src/brain/l3_relation_graph_v2_4152/builder.py,code,L3 relation graph v2 builder,created,TASK-4152
src/brain/l3_relation_graph_v2_4152/validator.py,code,L3 relation graph v2 validator,created,TASK-4152
scripts/build_l3_relation_graph_v2_4152.py,script,Build L3 relation graph v2 artifacts,created,TASK-4152
scripts/validate_l3_relation_graph_v2_4152.py,validator,Validate L3 relation graph v2 artifacts,created,TASK-4152
tests/test_l3_relation_graph_v2_4152.py,test,Unit tests for L3 relation graph v2 behavior,created,TASK-4152
data/artifacts/task_4152_l3_relation_graph_v2/l3_relation_edges.csv,artifact,L3 relation edge rows,created,TASK-4152
data/artifacts/task_4152_l3_relation_graph_v2/l3_event_clusters.csv,artifact,L3 event cluster rows,created,TASK-4152
data/artifacts/task_4152_l3_relation_graph_v2/l3_relation_graphs.csv,artifact,L3 relation graph v2 rows,created,TASK-4152
data/artifacts/task_4152_l3_relation_graph_v2/l3_coverage_gaps.csv,artifact,L3 relation graph v2 coverage gaps,created,TASK-4152
data/artifacts/task_4152_l3_relation_graph_v2/l3_relation_graph_v2_manifest.json,artifact,L3 relation graph v2 manifest,created,TASK-4152
data/artifacts/task_4152_l3_relation_graph_v2/l3_relation_graph_validation.json,artifact,L3 relation graph v2 validation report,created,TASK-4152
docs/reports/task_4152_l3_relation_graph_v2/report.md,report,TASK-4152 report,created,TASK-4152
docs/reports/task_4152_l3_relation_graph_v2/artifact_manifest.csv,manifest,TASK-4152 artifact manifest,created,TASK-4152
docs/reports/task_4152_l3_relation_graph_v2/validation_results.md,validation,TASK-4152 validation results,created,TASK-4152
