meaning_id,asof_ts,symbol,l2_primitive_ids,source_receipt_ids,source_family,provider,authority_class,runtime_context,source_time_certified,freshness_status,event_type,economic_dimension,direction,confidence_raw_band,confidence_static_weight,confidence_calibrated_probability,confidence_calibration_status,confidence_calibration_version,uncertainty_flags,reason_codes,diagnostic_only,trade_output_flag,score_output_flag,order_intent_flag
l3v2:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000001|ENTRY,2021-06-14T14:30:00+00:00,AAPL,,CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000001|ENTRY,canonical_source_event,canonical_source_event_rebuild,uncertified_source,HISTORICAL_RESEARCH,0,HISTORICAL,canonical_source_event_entry,EXECUTION,NEUTRAL,low,0.35,,NOT_CALIBRATED,UNAVAILABLE,historical_source_event_bridge;task742_packet_unrecoverable;not_task742_golden_replay,CANONICAL_SOURCE_EVENT_REBUILD;TASK742_HISTORICAL_PACKET_UNRECOVERABLE;NOT_TASK742_GOLDEN_REPLAY;EXECUTION_CONTEXT_NOT_ECONOMIC_THESIS_SIGNAL;STATIC_CONFIDENCE_NOT_PROBABILITY;DIAGNOSTIC_REVIEW_ONLY;LIFECYCLE_ID_LIFECYCLE|AAPL|2021-06-14|CONT-0001,True,0,0,0
l3v2:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000002|ADD,2021-06-28T14:30:00+00:00,AAPL,,CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000002|ADD,canonical_source_event,canonical_source_event_rebuild,uncertified_source,HISTORICAL_RESEARCH,0,HISTORICAL,canonical_source_event_add,EXECUTION,NEUTRAL,low,0.35,,NOT_CALIBRATED,UNAVAILABLE,historical_source_event_bridge;task742_packet_unrecoverable;not_task742_golden_replay,CANONICAL_SOURCE_EVENT_REBUILD;TASK742_HISTORICAL_PACKET_UNRECOVERABLE;NOT_TASK742_GOLDEN_REPLAY;EXECUTION_CONTEXT_NOT_ECONOMIC_THESIS_SIGNAL;STATIC_CONFIDENCE_NOT_PROBABILITY;DIAGNOSTIC_REVIEW_ONLY;LIFECYCLE_ID_LIFECYCLE|AAPL|2021-06-14|CONT-0001,True,0,0,0
l3v2:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000003|SCALE,2021-07-02T14:30:00+00:00,AAPL,,CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000003|SCALE,canonical_source_event,canonical_source_event_rebuild,uncertified_source,HISTORICAL_RESEARCH,0,HISTORICAL,canonical_source_event_scale,EXECUTION,NEUTRAL,low,0.35,,NOT_CALIBRATED,UNAVAILABLE,historical_source_event_bridge;task742_packet_unrecoverable;not_task742_golden_replay,CANONICAL_SOURCE_EVENT_REBUILD;TASK742_HISTORICAL_PACKET_UNRECOVERABLE;NOT_TASK742_GOLDEN_REPLAY;EXECUTION_CONTEXT_NOT_ECONOMIC_THESIS_SIGNAL;STATIC_CONFIDENCE_NOT_PROBABILITY;DIAGNOSTIC_REVIEW_ONLY;LIFECYCLE_ID_LIFECYCLE|AAPL|2021-06-14|CONT-0001,True,0,0,0
l3v2:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000004|EXIT,2021-07-13T14:30:00+00:00,AAPL,,CANONICAL|LIFECYCLE|AAPL|2021-06-14|CONT-0001|000004|EXIT,canonical_source_event,canonical_source_event_rebuild,uncertified_source,HISTORICAL_RESEARCH,0,HISTORICAL,canonical_source_event_exit,EXECUTION,NEUTRAL,low,0.35,,NOT_CALIBRATED,UNAVAILABLE,historical_source_event_bridge;task742_packet_unrecoverable;not_task742_golden_replay,CANONICAL_SOURCE_EVENT_REBUILD;TASK742_HISTORICAL_PACKET_UNRECOVERABLE;NOT_TASK742_GOLDEN_REPLAY;EXECUTION_CONTEXT_NOT_ECONOMIC_THESIS_SIGNAL;STATIC_CONFIDENCE_NOT_PROBABILITY;DIAGNOSTIC_REVIEW_ONLY;LIFECYCLE_ID_LIFECYCLE|AAPL|2021-06-14|CONT-0001,True,0,0,0
l3v2:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-07-14|CONT-0002|000001|ENTRY,2021-07-14T14:30:00+00:00,AAPL,,CANONICAL|LIFECYCLE|AAPL|2021-07-14|CONT-0002|000001|ENTRY,canonical_source_event,canonical_source_event_rebuild,uncertified_source,HISTORICAL_RESEARCH,0,HISTORICAL,canonical_source_event_entry,EXECUTION,NEUTRAL,low,0.35,,NOT_CALIBRATED,UNAVAILABLE,historical_source_event_bridge;task742_packet_unrecoverable;not_task742_golden_replay,CANONICAL_SOURCE_EVENT_REBUILD;TASK742_HISTORICAL_PACKET_UNRECOVERABLE;NOT_TASK742_GOLDEN_REPLAY;EXECUTION_CONTEXT_NOT_ECONOMIC_THESIS_SIGNAL;STATIC_CONFIDENCE_NOT_PROBABILITY;DIAGNOSTIC_REVIEW_ONLY;LIFECYCLE_ID_LIFECYCLE|AAPL|2021-07-14|CONT-0002,True,0,0,0
l3v2:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-07-14|CONT-0002|000002|REDUCE,2021-07-19T14:30:00+00:00,AAPL,,CANONICAL|LIFECYCLE|AAPL|2021-07-14|CONT-0002|000002|REDUCE,canonical_source_event,canonical_source_event_rebuild,uncertified_source,HISTORICAL_RESEARCH,0,HISTORICAL,canonical_source_event_reduce,EXECUTION,NEUTRAL,low,0.35,,NOT_CALIBRATED,UNAVAILABLE,historical_source_event_bridge;task742_packet_unrecoverable;not_task742_golden_replay,CANONICAL_SOURCE_EVENT_REBUILD;TASK742_HISTORICAL_PACKET_UNRECOVERABLE;NOT_TASK742_GOLDEN_REPLAY;EXECUTION_CONTEXT_NOT_ECONOMIC_THESIS_SIGNAL;STATIC_CONFIDENCE_NOT_PROBABILITY;DIAGNOSTIC_REVIEW_ONLY;LIFECYCLE_ID_LIFECYCLE|AAPL|2021-07-14|CONT-0002,True,0,0,0
l3v2:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-07-14|CONT-0002|000003|EXIT,2021-08-11T14:30:00+00:00,AAPL,,CANONICAL|LIFECYCLE|AAPL|2021-07-14|CONT-0002|000003|EXIT,canonical_source_event,canonical_source_event_rebuild,uncertified_source,HISTORICAL_RESEARCH,0,HISTORICAL,canonical_source_event_exit,EXECUTION,NEUTRAL,low,0.35,,NOT_CALIBRATED,UNAVAILABLE,historical_source_event_bridge;task742_packet_unrecoverable;not_task742_golden_replay,CANONICAL_SOURCE_EVENT_REBUILD;TASK742_HISTORICAL_PACKET_UNRECOVERABLE;NOT_TASK742_GOLDEN_REPLAY;EXECUTION_CONTEXT_NOT_ECONOMIC_THESIS_SIGNAL;STATIC_CONFIDENCE_NOT_PROBABILITY;DIAGNOSTIC_REVIEW_ONLY;LIFECYCLE_ID_LIFECYCLE|AAPL|2021-07-14|CONT-0002,True,0,0,0
l3v2:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-08-16|CONT-0003|000001|ENTRY,2021-08-16T14:30:00+00:00,AAPL,,CANONICAL|LIFECYCLE|AAPL|2021-08-16|CONT-0003|000001|ENTRY,canonical_source_event,canonical_source_event_rebuild,uncertified_source,HISTORICAL_RESEARCH,0,HISTORICAL,canonical_source_event_entry,EXECUTION,NEUTRAL,low,0.35,,NOT_CALIBRATED,UNAVAILABLE,historical_source_event_bridge;task742_packet_unrecoverable;not_task742_golden_replay,CANONICAL_SOURCE_EVENT_REBUILD;TASK742_HISTORICAL_PACKET_UNRECOVERABLE;NOT_TASK742_GOLDEN_REPLAY;EXECUTION_CONTEXT_NOT_ECONOMIC_THESIS_SIGNAL;STATIC_CONFIDENCE_NOT_PROBABILITY;DIAGNOSTIC_REVIEW_ONLY;LIFECYCLE_ID_LIFECYCLE|AAPL|2021-08-16|CONT-0003,True,0,0,0
l3v2:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-08-16|CONT-0003|000002|ADD,2021-09-07T14:30:00+00:00,AAPL,,CANONICAL|LIFECYCLE|AAPL|2021-08-16|CONT-0003|000002|ADD,canonical_source_event,canonical_source_event_rebuild,uncertified_source,HISTORICAL_RESEARCH,0,HISTORICAL,canonical_source_event_add,EXECUTION,NEUTRAL,low,0.35,,NOT_CALIBRATED,UNAVAILABLE,historical_source_event_bridge;task742_packet_unrecoverable;not_task742_golden_replay,CANONICAL_SOURCE_EVENT_REBUILD;TASK742_HISTORICAL_PACKET_UNRECOVERABLE;NOT_TASK742_GOLDEN_REPLAY;EXECUTION_CONTEXT_NOT_ECONOMIC_THESIS_SIGNAL;STATIC_CONFIDENCE_NOT_PROBABILITY;DIAGNOSTIC_REVIEW_ONLY;LIFECYCLE_ID_LIFECYCLE|AAPL|2021-08-16|CONT-0003,True,0,0,0
l3v2:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2021-08-16|CONT-0003|000003|REDUCE,2021-09-10T14:30:00+00:00,AAPL,,CANONICAL|LIFECYCLE|AAPL|2021-08-16|CONT-0003|000003|REDUCE,canonical_source_event,canonical_source_event_rebuild,uncertified_source,HISTORICAL_RESEARCH,0,HISTORICAL,canonical_source_event_reduce,EXECUTION,NEUTRAL,low,0.35,,NOT_CALIBRATED,UNAVAILABLE,historical_source_event_bridge;task742_packet_unrecoverable;not_task742_golden_replay,CANONICAL_SOURCE_EVENT_REBUILD;TASK742_HISTORICAL_PACKET_UNRECOVERABLE;NOT_TASK742_GOLDEN_REPLAY;EXECUTION_CONTEXT_NOT_ECONOMIC_THESIS_SIGNAL;STATIC_CONFIDENCE_NOT_PROBABILITY;DIAGNOSTIC_REVIEW_ONLY;LIFECYCLE_ID_LIFECYCLE|AAPL|2021-08-16|CONT-0003,True,0,0,0
