name,actual_kind,declared_kind,classification,action,status
.codex,directory,directory,local_codex_state,keep_local_only,PASS
.dvc,directory,directory,data_versioning_metadata,keep,PASS
.dvcignore,file,file,data_versioning_config,keep,PASS
.env,file,file,local_secret,keep_local_only_do_not_read,WARN
.git,directory,directory,vcs_metadata,keep,PASS
.gitignore,file,file,vcs_config,keep,PASS
.kis_token_cache.json,file,file,local_secret_token_cache,keep_local_only_do_not_read,WARN
.obsidian,directory,directory,local_obsidian_state,keep_local_only,PASS
.pytest_cache,directory,directory,transient_cache_known_debt,cleanup_candidate,WARN
AGENTS.md,file,file,root_agent_rules,keep,PASS
apps,directory,directory,application_surfaces,keep,PASS
config,directory,directory,config_alias_known_debt,review_before_move,WARN
configs,directory,directory,canonical_config,keep,PASS
data,directory,directory,data_artifacts_protected,keep_protected,PASS
docs,directory,directory,documentation,keep,PASS
frontend,directory,directory,frontend_surface_known_debt,review_against_apps,WARN
logs,directory,directory,runtime_logs,keep_local_or_rotate,PASS
ops,directory,directory,governance,keep,PASS
prompts,directory,directory,prompt_governance,keep,PASS
README.md,file,file,project_entry_doc,keep,PASS
schemas,directory,directory,contracts,keep,PASS
scripts,directory,directory,automation_and_validators,keep,PASS
src,directory,directory,source_code,keep,PASS
tasks,directory,directory,task_local_state_known_debt,review_against_task_registry,WARN
tests,directory,directory,tests,keep,PASS
tools,directory,directory,tools,keep,PASS
trading-DESKTOP-2R00TB4.db,file,file,machine_conflict_db_known_debt,review_before_move_or_delete,WARN
trading.db,file,file,local_runtime_db_known_debt,review_before_move_or_delete,WARN
