artifact_path,artifact_type,role,status,row_count,file_size_bytes,validation,notes
README.md,input,navigation_source,read,not_applicable,not_measured,manual_read,Repository orientation only.
AGENTS.md,input,repo_working_rules,read,not_applicable,not_measured,manual_read,Goal and surgical-change rules.
docs/INDEX.md,input,broad_navigation,read,not_applicable,not_measured,manual_read,Broad index remains navigation-only.
docs/ownership/current_operating_model.md,input,canonical_status_source,read,not_applicable,not_measured,manual_read,Current governance truth.
docs/ownership/readiness_registry.yaml,input,canonical_status_source,read,not_applicable,not_measured,manual_read,Readiness and blocker machine source.
tasks/task_registry.csv,input,canonical_registry,read,131,not_measured,manual_read,Historical/canonical task registry evidence.
tasks/archive_candidate_registry.csv,input,archive_candidate_source,read,not_measured,not_measured,manual_read,Existing archive candidate evidence.
graphify-out/GRAPH_REPORT.md,input,stale_discovery_source,read,not_applicable,not_measured,manual_read,Stale 2026-04-25 discovery only.
docs/active/README_ACTIVE.md,output,active_entry,created,not_applicable,not_measured,validation_passed,Default active workspace entry.
docs/active/PROJECT_STATUS.md,output,active_status,created,not_applicable,not_measured,validation_passed,Condensed status boundaries.
docs/active/ACTIVE_SSOT_INDEX.md,output,active_ssot_index,created,not_applicable,not_measured,validation_passed,Active/canonical/navigation classification.
docs/active/CODEX_READ_SCOPE.md,output,read_scope,created,not_applicable,not_measured,validation_passed,Default Codex read scope.
docs/active/CURRENT_TASKS.md,output,current_tasks,created,not_applicable,not_measured,validation_passed,Active queue summary.
docs/active/PROJECT_TABLE_OF_CONTENTS.md,output,toc,created,not_applicable,not_measured,validation_passed,Book-like project hierarchy.
docs/active/WORKSTREAM_MAP.md,output,workstream_map,created,not_applicable,not_measured,validation_passed,Owner and reviewer map.
docs/active/DOCUMENT_RETENTION_POLICY.md,output,retention_policy,created,not_applicable,not_measured,validation_passed,Classification and retention policy.
docs/active/DELETE_CANDIDATE_POLICY.md,output,delete_policy,created,not_applicable,not_measured,validation_passed,Deletion rules and guardrails.
docs/archive/LEGACY_FREEZE_2026_06.md,output,legacy_freeze,created,not_applicable,not_measured,validation_passed,Legacy freeze marker.
tasks/active_task_registry.csv,output,active_registry,created,1,not_measured,validation_passed,Lightweight active task registry.
docs/reports/A001_project_management_reset/delete_candidates.csv,output,delete_manifest,created,10,not_measured,validation_passed,No deletions performed.
docs/reports/A001_project_management_reset/archive_candidates.csv,output,archive_manifest,created,10,not_measured,validation_passed,No moves performed.
docs/reports/A001_project_management_reset/duplicate_docs_review.csv,output,duplicate_review,created,15,not_measured,validation_passed,Management-document overlap review.
docs/reports/A001_project_management_reset/clarification_questions.md,output,clarification_questions,created,not_applicable,not_measured,validation_passed,Questions that block destructive action.
docs/reports/A001_project_management_reset/project_management_reset_report.md,output,task_report,created,not_applicable,not_measured,validation_passed,A001 decision report.
