provider,blocker_type,blocker_active,severity,reason,allowed_next_action,forbidden_action
sec_live_delta,NO_EVENTS,true,P1_BLOCKER,Provider has no event rows in Task3845 evidence.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_live_delta,STRICT_GATE_CLOSED,true,P0_BLOCKER,SEC strict gate remains closed.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_live_delta,PROXY_GATE_CLOSED,true,P1_BLOCKER,SEC proxy gate remains closed.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_live_delta,NO_AUTHORITY_CLAIM,true,P0_BLOCKER,Provider evidence is not authority certification.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_live_delta,NO_NETWORK_CALL,true,P1_BLOCKER,This reconciliation did not call SEC live endpoints.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_rss_delta,NO_EVENTS,true,P1_BLOCKER,Provider has no event rows in Task3845 evidence.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_rss_delta,STRICT_GATE_CLOSED,true,P0_BLOCKER,SEC strict gate remains closed.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_rss_delta,PROXY_GATE_CLOSED,true,P1_BLOCKER,SEC proxy gate remains closed.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_rss_delta,NO_AUTHORITY_CLAIM,true,P0_BLOCKER,Provider evidence is not authority certification.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_rss_delta,NO_NETWORK_CALL,true,P1_BLOCKER,This reconciliation did not call SEC live endpoints.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_bulk_baseline,NO_EVENTS,false,P1_BLOCKER,Provider has no event rows in Task3845 evidence.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_bulk_baseline,STRICT_GATE_CLOSED,true,P0_BLOCKER,SEC strict gate remains closed.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_bulk_baseline,PROXY_GATE_CLOSED,true,P1_BLOCKER,SEC proxy gate remains closed.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_bulk_baseline,NO_AUTHORITY_CLAIM,true,P0_BLOCKER,Provider evidence is not authority certification.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_bulk_baseline,NO_NETWORK_CALL,true,P1_BLOCKER,This reconciliation did not call SEC live endpoints.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_submissions_cache,NO_EVENTS,false,P1_BLOCKER,Provider has no event rows in Task3845 evidence.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_submissions_cache,STRICT_GATE_CLOSED,true,P0_BLOCKER,SEC strict gate remains closed.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_submissions_cache,PROXY_GATE_CLOSED,true,P1_BLOCKER,SEC proxy gate remains closed.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_submissions_cache,NO_AUTHORITY_CLAIM,true,P0_BLOCKER,Provider evidence is not authority certification.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
sec_submissions_cache,NO_NETWORK_CALL,true,P1_BLOCKER,This reconciliation did not call SEC live endpoints.,Write evidence requirements or validate cached artifacts only.,"No SEC live retry, source acquisition, gate opening, paper/live permission, broker call, or authority claim."
