relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1160,781d3b9d8ebf715c80c6d0d656e191a889f9194957aa5e3b1a0e2c00bdb06c00
gpt_chrome_review_packet.md,report,2074,2db6b5b6124574a3726dc11a9bb1b2aa958658d072480ed8c7ec44c6622bfbf6
task734_candidate_deep_dive.csv,small_table,15027,a3b71cfcecca4d6603db0dac2cff9548e5e7b1c6a04e09777e998c0ee104f46e
task734_candidate_deep_dive.jsonl,other,19335,fe8c70cb2879f3c0cdf592bac2d153e89a0a159fee8d0de585a4dfbc066d6362
task734_candidate_summary.csv,small_table,619,3b4de20a8a829271b80a298337588ae45eed98aea26c70a1538fc7fdc56ccafc
task734_gpt_review_summary.csv,small_table,583,58e57a9826a9798d3570a0c2d925dd0dba6ec8738900dd94640070226cb8e685
task734_guardrail.csv,small_table,538,a69e461750dc4337cf6cca2ef6f163b02af34535a84bc29c811ba86ddeb3ce84
task_734_decision.csv,decision,488,6faff205e70bc586e10c2eb9600bbb0d756907de7efde9716f1bc115b6f6e611
task_734_operating_connection_candidate_deep_dive.md,report,3958,c4976419008040d2446482b7e517eafa414f37f0c188af38e7ed71bc9403b160
task_734_pass_fail_matrix.csv,small_table,375,b57461c4a7b76907555e5608a2cc832b5f301f8a9dcb7a4a4317868e303e3951
