relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1217,08584b6714f01e7fba45453eec2b8b84230d402e774cf14dadd27bc03d277d19
task_637_content_signal_accepted_trades.csv,small_table,367325,4d7cb283e2f7b66707d113ce908616f24ee4ad59a778d022e60dd7152d1369a5
task_637_content_signal_account_backtest.md,report,5150,2f7da7f007ee2f42e9e32837edb6fdbf69b46fe9a5471b6d73427074606d58d7
task_637_content_signal_account_summary.csv,small_table,16917,af4511a83003481cf28af9524d64973e90d61db11fd1dd091029d126057f958a
task_637_content_signal_oos_account_summary.csv,small_table,11702,359915e53ca2ffa2b3ba1fec5bdd90fcd1328b6df2d78b5c0019da683b92d740
task_637_content_signal_split_audit.csv,small_table,2576,c15c48d27bfdf66a113bf19d38bab0e7ff7cf181b22421a9f7ea52e273e8a100
task_637_decision.csv,decision,849,fd28eda578fe908a7852a5fb15d75ecccb44d9ad0d54292bb4a3eca096027381
task_637_gpt_review_packet.md,report,2192,30cf18f7d46ad6e8f2d17982e57b3a40a9545a329c66c217d97ac21d55bade6e
task_637_pass_fail_matrix.csv,small_table,1218,641db3c850b9caf3843a3ce95c0da88735f8e2da3ebe3217e23d37641fbdea77
task_637_source_audit.csv,small_table,247,e390bd8bcca66d7e8239c727364a8cdc30ec3fcf4623924f1da35862178846a5
