relative_path,artifact_class,size_bytes,sha256
gpt_chrome_review_packet.md,report,2085,a82ad26c644ce6f0b338f59f2098b6b0ca43eafa430a86992bb209801bba2ec1
task733_connection_permission.csv,small_table,1808599,fd4da10ec8909296bb00581f928da630278666800036874ce54230138bb278e7
task733_context_quality.csv,small_table,1964139,74d951e590d6b23f94ddd7bac7dc762b843704c69003a931fe87d4dca96cf933
task733_context_quality.jsonl,other,4439790,b79635deabfe35cb5cd6c724f02201da8bfb643e64bfbb08a615fc28451acea3
task733_gpt_review_summary.csv,small_table,690,1a0b638b57137228d73ccb2fa568edb96e85e810189faaec2de2ab046cd74b68
task733_guardrail_violations.csv,small_table,85,8da22ac51fc27b3c930793d46cd78505274d5696d924f0e7b87a4079ffbad6ec
task733_guardrail_violations.jsonl,other,105,cf0d87c93e7bfe61d3ec20ff2c51e9d3950323daa2b198dea69b367ca437aa90
task733_non_operating_modifier_edges.csv,small_table,1683557,c3db5a81fd0b5d6d08dbb736e3471d4e39e445027e89addb9ca57dc80ea21a49
task733_non_operating_modifier_edges.jsonl,other,3445871,e29dc4c1254fb97971025c860f4811a7fcc12c642615a58f6abfb8142e059132
task733_operating_connection_edges.csv,small_table,3661,bc8aaf6a460d896e4b12bfcb18db54641087353a32c600c3389349bd6896b13a
task733_operating_connection_edges.jsonl,other,6415,a24a597d0392ecb9fbe161c53a4b22aa77a18632238591b747ac3a263476fdb3
task733_quality_distribution_report.csv,small_table,1120,686dc1fd1e3b55b815b91e98a6422df01c5025aea5734b5b3dbba2e2aea547e6
task_733_circuit_quality_operating_connection.md,report,4873,e684c2e5114658f1f63d3bad68cbb18c9f7cd55f7465aa0b72b45485203c2b93
task_733_decision.csv,decision,498,0647eff944a851e257c820f58da26ac4661f896b0cfadf0ab97b3c5f530276f7
task_733_pass_fail_matrix.csv,small_table,688,e2f4121d0f5809592358be36a22aae590bf37f3267060e85ee1dfaa90ef1777a
