requirement_id,source_family,required_evidence,current_status,authority_certified,notes
authority_req_001,authority_evidence_ledger,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_002,broker_truth_reconciliation,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_003,catalog_report_artifacts,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_004,daily_ohlcv,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_005,diagnostic_runtime_heartbeats,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_006,frontend_read_models,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_007,indicator_snapshots,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_008,macro_rates,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_009,market_bars_5m,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_010,market_ticks_intraday,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_011,runtime_strategy_decisions,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
authority_req_012,sec_events,receipt_hash_lineage_freshness_and_operator_review,UNKNOWN/BLOCKER,false,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.
