receipt_id,source_family,quarantine_reason,source_ts,capture_ts,quarantined_at,notes
receipt:market_bars_5m:2026-06-23T13:30:00Z,market_bars_5m,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T13:34:59Z,2026-06-23T13:31:53.267057Z,2026-06-24T00:47:31Z,receipt preserved for audit but excluded from active source-time chain
receipt:market_bars_5m:2026-06-23T13:35:00Z,market_bars_5m,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T13:39:59Z,2026-06-23T13:37:50.956878Z,2026-06-24T00:47:31Z,receipt preserved for audit but excluded from active source-time chain
receipt:market_bars_5m:2026-06-23T13:40:00Z,market_bars_5m,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T13:44:59Z,2026-06-23T13:42:58.884412Z,2026-06-24T00:47:31Z,receipt preserved for audit but excluded from active source-time chain
receipt:market_bars_5m:2026-06-23T13:45:00Z,market_bars_5m,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T13:49:59Z,2026-06-23T13:47:09.660265Z,2026-06-24T00:47:31Z,receipt preserved for audit but excluded from active source-time chain
receipt:market_bars_5m:2026-06-23T13:50:00Z,market_bars_5m,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T13:54:59Z,2026-06-23T13:52:24.203965Z,2026-06-24T00:47:31Z,receipt preserved for audit but excluded from active source-time chain
receipt:market_bars_5m:2026-06-23T13:55:00Z,market_bars_5m,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T13:59:59Z,2026-06-23T13:57:45.339475Z,2026-06-24T00:47:31Z,receipt preserved for audit but excluded from active source-time chain
receipt:market_bars_5m:2026-06-23T14:00:00Z,market_bars_5m,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T14:04:59Z,2026-06-23T14:04:10.030324Z,2026-06-24T00:47:31Z,receipt preserved for audit but excluded from active source-time chain
receipt:market_bars_5m:2026-06-23T14:05:00Z,market_bars_5m,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T14:09:59Z,2026-06-23T14:07:11.657649Z,2026-06-24T00:47:31Z,receipt preserved for audit but excluded from active source-time chain
receipt:market_bars_5m:2026-06-23T14:10:00Z,market_bars_5m,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T14:14:59Z,2026-06-23T14:12:19.339190Z,2026-06-24T00:47:31Z,receipt preserved for audit but excluded from active source-time chain
receipt:market_bars_5m:2026-06-23T14:15:00Z,market_bars_5m,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T14:19:59Z,2026-06-23T14:16:58.974522Z,2026-06-24T00:47:31Z,receipt preserved for audit but excluded from active source-time chain
