"path","class","recommendation","delete_risk","result","size_bytes","note"
"__pycache__/validate_readiness_registry.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","6885","Generated cache file deleted."
"data/__pycache__/catalog.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","1538","Generated cache file deleted."
"data/__pycache__/quality.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","1533","Generated cache file deleted."
"scripts/__pycache__/acceptance_gate_validate.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","16871","Generated cache file deleted."
"scripts/__pycache__/active_task_registry_validate.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4549","Generated cache file deleted."
"scripts/__pycache__/artifact_migrate_safe.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","6403","Generated cache file deleted."
"scripts/__pycache__/artifact_migration_plan.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7042","Generated cache file deleted."
"scripts/__pycache__/build_acceptance_status_catalog.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","11115","Generated cache file deleted."
"scripts/__pycache__/build_trader_terminal_catalog.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","86030","Generated cache file deleted."
"scripts/__pycache__/capture_kis_fixtures.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","6878","Generated cache file deleted."
"scripts/__pycache__/codeowners_coverage_validate.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","1947","Generated cache file deleted."
"scripts/__pycache__/fetch_us_daily_data.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","5699","Generated cache file deleted."
"scripts/__pycache__/frontend_continuity_validate.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","3215","Generated cache file deleted."
"scripts/__pycache__/governance_completion_audit.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","3126","Generated cache file deleted."
"scripts/__pycache__/operating_closeout_validate.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4696","Generated cache file deleted."
"scripts/__pycache__/task_artifact_manifest.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4176","Generated cache file deleted."
"scripts/__pycache__/task_registry_validate.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","3915","Generated cache file deleted."
"src/__pycache__/__init__.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","237","Generated cache file deleted."
"src/analytics/__pycache__/__init__.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","244","Generated cache file deleted."
"src/analytics/__pycache__/attribution.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4091","Generated cache file deleted."
"src/analytics/__pycache__/metrics.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7065","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc.1584633572416","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc.1883009740560","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc.1927870237792","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc.1994033351776","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc.2005240532064","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc.2257424501856","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc.2536830356576","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc.2557684051728","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc.2613075539600","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/__init__.cpython-313.pyc.2641766412048","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","238","Generated cache file deleted."
"src/app/__pycache__/continuation_runtime_capture_370.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","15225","Generated cache file deleted."
"src/app/__pycache__/main.cpython-313.pyc","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","7655","Generated cache file deleted."
"src/app/__pycache__/main.cpython-313.pyc.1584632740560","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","3774","Generated cache file deleted."
"src/app/__pycache__/main.cpython-313.pyc.1883010446064","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4589","Generated cache file deleted."
"src/app/__pycache__/main.cpython-313.pyc.1927870458640","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4600","Generated cache file deleted."
"src/app/__pycache__/main.cpython-313.pyc.1994033572624","GENERATED_CACHE","DELETE_SAFE","LOW","DELETED","4589","Generated cache file deleted."
