symbol,entry_row_count,first_entry_date,last_entry_date,lake_start_date,lake_end_date,source_panel,assignment_label_used_flag
AFRM,63,2024-01-03,2026-05-28,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
AMD,96,2024-01-04,2026-06-03,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
AMGN,67,2024-01-02,2026-02-18,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
AMZN,72,2024-01-10,2026-05-21,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
ARM,91,2024-01-03,2026-06-03,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
ASML,101,2024-01-18,2026-06-03,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
ASTS,90,2024-05-14,2026-05-28,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
AVGO,119,2024-01-04,2026-06-01,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
BA,47,2024-06-03,2026-05-27,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
CEG,84,2024-01-22,2026-05-06,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
COIN,73,2024-01-04,2026-05-14,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
CRM,50,2024-01-11,2026-06-01,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
CRWD,101,2024-01-08,2026-06-01,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
DDOG,68,2024-01-09,2026-06-01,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
EMR,83,2024-01-02,2026-04-08,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
ESTC,53,2024-01-11,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
ETN,95,2024-02-01,2026-05-04,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
F,42,2024-01-02,2026-05-28,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
FTNT,75,2024-01-03,2026-06-03,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
GD,41,2024-05-22,2026-03-03,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
GE,97,2024-01-08,2026-06-01,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
GEV,127,2024-04-25,2026-05-14,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
GM,56,2024-01-02,2026-06-03,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
GOOGL,87,2024-01-03,2026-05-28,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
GTLB,52,2024-01-24,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
HON,57,2024-01-02,2026-03-04,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
HOOD,114,2024-01-04,2026-05-28,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
IBIT,92,2024-02-12,2026-05-14,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
IR,64,2024-01-02,2026-03-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
ISRG,63,2024-01-02,2026-04-22,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
LCID,7,2025-05-12,2025-09-25,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
LLY,80,2024-01-03,2026-05-28,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
LMT,51,2024-07-23,2026-02-09,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
MBLY,34,2024-03-21,2026-06-03,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
MDB,58,2024-01-22,2026-06-01,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
META,75,2024-01-03,2026-05-27,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
MRNA,63,2024-01-02,2026-05-12,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
MRVL,81,2024-01-08,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
MSFT,68,2024-01-17,2026-05-06,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
MSTR,85,2024-01-04,2026-05-14,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
NEE,66,2024-01-03,2026-04-30,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
NET,91,2024-01-10,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
NOC,57,2024-05-13,2026-02-05,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
NOW,63,2024-01-16,2026-06-01,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
NVDA,121,2024-01-08,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
NVO,57,2024-01-04,2026-05-28,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
OKTA,43,2024-02-14,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
ORCL,94,2024-01-18,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
PANW,88,2024-01-10,2026-06-01,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
PH,83,2024-01-08,2026-03-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
PLTR,90,2024-01-22,2025-11-10,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
PWR,127,2024-02-21,2026-05-14,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
PYPL,52,2024-01-08,2026-05-04,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
REGN,61,2024-01-02,2026-03-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
RIVN,55,2024-05-13,2026-06-03,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
RKLB,111,2024-01-02,2026-05-28,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
ROK,63,2024-01-02,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
RTX,64,2024-01-08,2026-02-03,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
S,47,2024-01-03,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
SNOW,65,2024-01-22,2026-06-01,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
SOFI,79,2024-02-14,2025-10-28,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
TEAM,52,2024-01-09,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
TER,104,2024-01-08,2026-06-03,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
TSLA,58,2024-06-17,2026-05-28,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
TSM,121,2024-01-18,2026-06-02,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
UBER,39,2024-02-13,2026-05-06,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
VRT,152,2024-01-08,2026-05-14,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
VRTX,46,2024-01-02,2026-01-08,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
VST,104,2024-01-08,2026-01-15,2024-01-02,2026-06-03,docs\reports\task_636_full_period_content_prediction_backtest\task_636_entry_content_prediction_panel.csv,0
