task_id,layer,decision,status,evidence,blocked_by,next_action,authority
Task907,source corpus manifest,attach SEC companyfacts raw source files,implemented,data/artifacts/task_907_916_sec_l1_l5_pipeline/task907_source_corpus_manifest.csv,remaining_source_families_not_attached,add earnings guidance macro policy supply chain positioning and sector specialist official docs,RESEARCH_ONLY_SEC_COMPANYFACTS_L1_L5
Task908,L1 source evidence,build SEC companyfacts L1 evidence,implemented,data/artifacts/task_907_916_sec_l1_l5_pipeline/task908_l1_sec_companyfacts_evidence.csv,aggregate_api_fact_not_full_filing_text,add filing text or exhibit spans where needed,RESEARCH_ONLY_SEC_COMPANYFACTS_L1_L5
Task909,source admission,admit only raw external SEC source rows,implemented,data/artifacts/task_907_916_sec_l1_l5_pipeline/task909_source_admission_audit.csv,none for current SEC rows,keep internal lifecycle rows blocked,RESEARCH_ONLY_SEC_COMPANYFACTS_L1_L5
Task910,source spans,create deterministic source span panel,implemented,data/artifacts/task_907_916_sec_l1_l5_pipeline/task910_source_span_panel.csv,companyfacts span is compact aggregate span,add richer source text spans later,RESEARCH_ONLY_SEC_COMPANYFACTS_L1_L5
Task911,L2 primitive facts,generate source-backed primitives,implemented,data/artifacts/task_907_916_sec_l1_l5_pipeline/task911_l2_primitive_facts.csv,no earnings transcript or policy primitive yet,expand source families before adapter,RESEARCH_ONLY_SEC_COMPANYFACTS_L1_L5
Task912,L2 economic meaning,generate source-backed economic meanings,implemented,data/artifacts/task_907_916_sec_l1_l5_pipeline/task912_l2_economic_meanings.csv,SEC facts are context not catalysts,add catalyst families,RESEARCH_ONLY_SEC_COMPANYFACTS_L1_L5
Task913,L3 relation snapshots,generate as-of relation snapshots,implemented,data/artifacts/task_907_916_sec_l1_l5_pipeline/task913_l3_relation_snapshots.csv,relation vocabulary remains bounded,add non-SEC source edges later,RESEARCH_ONLY_SEC_COMPANYFACTS_L1_L5
Task914,L4 candidate bundles,generate research-only candidate bundles,implemented,data/artifacts/task_907_916_sec_l1_l5_pipeline/task914_l4_candidate_bundles.csv,weakest_layer remains missing non-SEC catalyst sources,close unresolved gaps before adapter eligibility,RESEARCH_ONLY_SEC_COMPANYFACTS_L1_L5
Task915,L5 dry decisions,generate dry decisions only,implemented,data/artifacts/task_907_916_sec_l1_l5_pipeline/task915_l5_dry_decisions.csv,trade_spec_allowed_zero,define adapter fields only after full source and replay gates,RESEARCH_ONLY_SEC_COMPANYFACTS_L1_L5
Task916,replay gate,keep replay no-go,implemented,data/artifacts/task_907_916_sec_l1_l5_pipeline/task916_replay_gate.csv,l5_trade_spec_allowed_zero,no backtest until adapter split OOS cost slippage and artifact audit pass,RESEARCH_ONLY_SEC_COMPANYFACTS_L1_L5
